#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
LEMD3	23592	12q14.3	chr12:65169571-65248361	3	Sufficient evidence for dosage pathogenicity	15489854	17087626	19438932	0	No evidence available				2012-03-22	166700,155950	
LEPR	3953	1p31.3	chr1:65420652-65637493	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614963	
LETM1	3954	4p16.3	chr4:1811479-1856247	0	No evidence available				0	No evidence available				2012-02-03	194190	
LFNG	3955	7p22.3	chr7:2512529-2529177	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	609813	
LHX3	8022	9q34.3	chr9:136196250-136205129	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	221750	
LHX4	89884	1q25.2	chr1:180228372-180278982	3	Sufficient evidence for dosage pathogenicity	11567216	18445675	18073311	0	No evidence available				2012-07-06	262700	
LIG4	3981	13q33.3	chr13:108207442-108218368	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
LIMK1	3984	7q11.23	chr7:74083777-74122525	0	No evidence available				0	No evidence available				2012-08-22		
LINS1	55180	15q26.3	chr15:100566914-100602440	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614340	
LIPA	3988	10q23.31	chr10:89213569-89252039	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	278000	
LITAF	9516	16p13.13	chr16:11547722-11636377	0	No evidence available				0	No evidence available				2016-10-21		
LMAN1	3998	18q21.32	chr18:59327823-59359276	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	227300	
LMBR1	64327	7q36.3	chr7:156673354-156893208	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-10-18		
LMNA	4000	1q22	chr1:156082546-156140089	2	Some evidence for dosage pathogenicity	20127487	12854972	12920062	0	No evidence available				2016-01-18	115200	
LMNB1	4001	5q23.2	chr5:126776623-126837020	0	No evidence available				3	Sufficient evidence for dosage pathogenicity	19151023	21225301		2012-07-06		169500
LMTK3	114783	19q13.33	chr19:48485271-48513926	1	Little evidence for dosage pathogenicity	28263302	22542183		0	No evidence available				2018-07-25		
LMX1B	4010	9q33.3	chr9:126614443-126701032	3	Sufficient evidence for dosage pathogenicity	9618165	9837817	18414507	0	No evidence available				2012-04-19	161200	
LOXHD1	125336	18q21.1	chr18:46476961-46657115	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613079	
LPAR6	10161	13q14.2	chr13:48411045-48444704	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	278150	
LPIN2	9663	18p11.31	chr18:2916994-3013315	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	609628	
LRAT	9227	4q32.1	chr4:154740841-154753119	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613341	
LRBA	987	4q31.3	chr4:150264515-151015725	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614700	
LRP2	4036	2q31.1	chr2:169127109-169362613	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2019-04-24	222448	
LRP5	4041	11q13.2	chr11:68298866-68449275	2	Some evidence for dosage pathogenicity	15024691	20340138		0	No evidence available				2015-04-02		
LRPAP1	4043	4p16.3	chr4:3503597-3532497	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615431	
LRPPRC	10128	2p21	chr2:43886224-43996005	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-03-20	220111	
LRRC6	23639	8q24.22	chr8:132570419-132685039	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614935	
LSS	4047	21q22.3	chr21:46188446-46228824	0	No evidence available				0	No evidence available				2012-09-06		
LYRM7	90624	5q23.3-q31.1	chr5:131170914-131205426	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615838	
LYST	1130	1q42.3	chr1:235661031-235883708	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	214500	
MAFB	9935	20q12	chr20:40685848-40689240	0	No evidence available				0	No evidence available				2015-05-21		
MAGEL2	54551	15q11.2	chr15:23643549-23647846	1	Little evidence for dosage pathogenicity				0	No evidence available				2018-05-22		
MAGT1	84061	Xq21.1	chrX:77826364-77895568	2	Some evidence for dosage pathogenicity	21796205			0	No evidence available				2013-06-19	300853	
MALT1	10892	18q21.32	chr18:58671386-58753806	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615468	
MAN2B1	4125	19p13.13	chr19:12646508-12666777	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	248500	
MAOA	4128	Xp11.3	chrX:43654907-43746824	1	Little evidence for dosage pathogenicity	8211186			0	No evidence available				2012-09-26		
MAP2K1	5604	15q22.31	chr15:66386873-66491544	0	No evidence available				0	No evidence available				2015-10-13		
MAP2K2	5605	19p13.3	chr19:4090321-4124184	1	Little evidence for dosage pathogenicity				0	No evidence available				2015-05-27		
MAP3K1	4214	5q11.2	chr5:56815073-56896152	0	No evidence available				0	No evidence available				2013-08-22		
MAPT	4137	17q21.31	chr17:45894382-46028334	0	No evidence available				0	No evidence available				2012-05-08	601104,600274,172700,260540	
MARVELD2	153562	5q13.2	chr5:69415112-69444022	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	610153	
MASP2	10747	1p36.22	chr1:11026523-11047239	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613791	
MATN3	4148	2p24.1	chr2:19992052-20012694	0	No evidence available				0	No evidence available				2014-03-12		
MBD5	55777	2q23.1	chr2:148021011-148516923	3	Sufficient evidence for dosage pathogenicity	23422940	21981781		1	Little evidence for dosage pathogenicity				2016-08-11	156200	
MC2R	4158	18p11.21	chr18:13882042-13915707	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	202200	
MCCC1	56922	3q27.1	chr3:183015218-183099587	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	210200	
MCEE	84693	2p13.3	chr2:71109676-71130288	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-03-25	251120	
MCFD2	90411	2p21	chr2:46901870-46941855	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613625	
MCPH1	79648	8p23.1	chr8:6406592-6648505	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	251200	
MECP2	4204	Xq28	chrX:154021800-154097731	3	Sufficient evidence for dosage pathogenicity				3	Sufficient evidence for dosage pathogenicity				2012-04-05	312750	300260
MED12	9968	Xq13.1	chrX:71118556-71142454	0	No evidence available	24039113			0	No evidence available				2018-08-22		
MED13L	23389	12q24.21	chr12:115958576-116277219	3	Sufficient evidence for dosage pathogenicity	24781760	25712080	25106414	1	Little evidence for dosage pathogenicity	25106414			2015-11-11	616789	
MEF2C	4208	5q14.3	chr5:88718241-88904105	3	Sufficient evidence for dosage pathogenicity	23389741	20513142	19592390	1	Little evidence for dosage pathogenicity				2020-02-26	613443	
MEFV	4210	16p13.3	chr16:3242028-3256776	0	No evidence available				0	No evidence available				2018-08-16		
MEG3	55384	14q32.2	chr14:100826108-100861026	1	Little evidence for dosage pathogenicity	20585555			0	No evidence available				2012-04-25	608149	
MEIS2	4212	15q14	chr15:36891021-37101299	2	Some evidence for dosage pathogenicity	20425846	24678003		0	No evidence available				2014-11-05		
MEN1	4221	11q13.1	chr11:64803514-64811294	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2015-11-16	131100	
MEST	4232	7q32.2	chr7:130486175-130506297	0	No evidence available				0	No evidence available				2012-04-04		
MET	4233	7q31.2	chr7:116672359-116798386	0	No evidence available				0	No evidence available				2012-09-06		
METTL23	124512	17q25.1	chr17:76725874-76733881	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615942	
MFHAS1	9258	8p23.1	chr8:8783354-8893621	0	No evidence available				0	No evidence available				2012-02-08		
MFN2	9927	1p36.22	chr1:11980181-12013515	0	No evidence available				0	No evidence available				2017-02-02		
MFRP	83552	11q23.3	chr11:119338934-119346673	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
MFSD8	256471	4q28.2	chr4:127917805-127965984	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
MID1	4281	Xp22.2	chrX:10445310-11111264	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-05-17	300000	
MID2	11043	Xq22.3	chrX:107820961-107931637	0	No evidence available				0	No evidence available				2012-07-25		
MITF	4286	3p13	chr3:69739435-69968337	3	Sufficient evidence for dosage pathogenicity	17627390	20127975		0	No evidence available				2012-05-31	193510	
MKKS	8195	20p12.2	chr20:10404780-10434239	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
MKRN3	7681	15q11.2	chr15:23565307-23568020	0	No evidence available	9613204	19066619		0	No evidence available				2012-04-24		
MKS1	54903	17q22	chr17:58205436-58219605	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
MLC1	23209	22q13.33	chr22:50059391-50085929	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	604004	
MLH1	4292	3p22.2	chr3:36993350-37050846	3	Sufficient evidence for dosage pathogenicity	14635101	15942939		0	No evidence available				2015-11-16	120435,609310	
MLPH	79083	2q37.3	chr2:237486410-237555318	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	609227	
MLYCD	23417	16q23.3	chr16:83899125-83916182	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	248360	
MMAA	166785	4q31.21	chr4:145619388-145660035	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	251100	
MMAB	326625	12q24.11	chr12:109553715-109573553	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-06-30	251110	
MMACHC	25974	1p34.1	chr1:45500184-45511266	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	277400	
MMADHC	27249	2q23.2	chr2:149569633-149587816	30	Gene associated with autosomal recessive phenotype				0	No evidence available	22085900			2016-07-21	277410	
MNX1	3110	7q36.3	chr7:157004853-157010653	3	Sufficient evidence for dosage pathogenicity	18449898	10749657		0	No evidence available				2012-10-04	176450	
MOCS2	4338	5q11.2	chr5:53095679-53109772	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	252160	
MOV10	4343	1p13.2	chr1:112674312-112702377	0	No evidence available	24463507	25363768	27824329	0	No evidence available				2019-03-12		
MPDZ	8777	9p23	chr9:13105704-13279713	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615219	
MPLKIP	136647	7p14.1	chr7:40132743-40134652	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	234050	
MSH2	4436	2p21-p16.3	chr2:47403067-47634501	3	Sufficient evidence for dosage pathogenicity	10850409	12203789	9843200	0	No evidence available				2015-07-09	120435	
MSH3	4437	5q14.1	chr5:80654648-80876815	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2020-05-08	617100	
MSH6	2956	2p16.3	chr2:47783082-47806953	3	Sufficient evidence for dosage pathogenicity	14974087	2815724	20487569	0	No evidence available				2015-11-16	614350	
MSX2	4488	5q35.2	chr5:174724495-174730899	3	Sufficient evidence for dosage pathogenicity	10742103	10767351	14571277	0	No evidence available	18000908	17955513	15214020	2011-12-15	168500,168550	
MTAP	4507	9p21.3	chr9:21802636-21865971	1	Little evidence for dosage pathogenicity				0	No evidence available				2013-10-30		
MTFMT	123263	15q22.31	chr15:65001512-65029639	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614947	
MTHFR	4524	1p36.22	chr1:11785730-11806103	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
MTM1	4534	Xq28	chrX:150562658-150673143	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	310400	
MTMR2	8898	11q21	chr11:95832880-95924207	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	601382	
MTO1	25821	6q13	chr6:73461727-73501456	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614702	
MTR	4548	1q43	chr1:236794304-236903981	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
MTRR	4552	5p15.31	chr5:7869104-7901124	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
MTTP	4547	4q23	chr4:99564078-99623997	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
MUT	4594	6p12.3	chr6:49430360-49463328	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-25	251000	
MUTYH	4595	1p34.1	chr1:45329242-45340925	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-11-11	608456,132600,613659	
MYBPC3	4607	11p11.2	chr11:47331406-47352702	3	Sufficient evidence for dosage pathogenicity	7493025	7493026, 23870641, 9562578	19574547	0	No evidence available				2015-11-12	615396,115197	
MYCN	4613	2p24.3	chr2:15940438-15947007	3	Sufficient evidence for dosage pathogenicity	16906565	18671284	18470948	0	No evidence available				2017-07-12	164280	
MYH10	4628	17p13.1	chr17:8474205-8631369	1	Little evidence for dosage pathogenicity	25003005	25284784	25363768	0	No evidence available				2019-01-23		
MYH11	4629	16p13.11	chr16:15703135-15857032	0	No evidence available	16444274	21937134	17666408, 22968129	0	No evidence available	21698135			2015-11-12	160745	132900
MYH7	4625	14q11.2	chr14:23412738-23435686	0	No evidence available				0	No evidence available				2015-11-15		
MYL2	4633	12q24.11	chr12:110910819-110920600	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-11-20	608758	
MYL3	4634	3p21.31	chr3:46857867-46863483	0	No evidence available				0	No evidence available				2015-11-18		
MYLK	4638	3q21.1	chr3:123612296-123884302	1	Little evidence for dosage pathogenicity	21055718	25907466		0	No evidence available				2016-01-14	613780	
MYO15A	51168	17p11.2	chr17:18108706-18180227	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	600316	
MYO1E	4643	15q22.2	chr15:59135969-59372872	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614131	
MYO3A	53904	10p12.1	chr10:25934073-26212536	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2018-03-06	607101	
MYO5A	4644	15q21.2	chr15:52307283-52529050	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	214450	
MYO5B	4645	18q21.1	chr18:49822786-50195081	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-04-08	251850	
MYT1L	23040	2p25.3	chr2:1789113-2331388	3	Sufficient evidence for dosage pathogenicity	27824329	23033978	25232846	0	No evidence available				2017-03-09	616521	
NAA15	80155	4q31.1	chr4:139301467-139390781	2	Some evidence for dosage pathogenicity	28191889	29656860		0	No evidence available				2019-02-27	617787	
NAALADL2	254827	3q26.31	chr3:174439669-175809510	0	No evidence available	15168106	22106001		0	No evidence available				2016-01-07		
NAT8L	339983	4p16.3	chr4:2059512-2069089	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614063	
NBAS	51594	2p24.3	chr2:14998067-15561348	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
NBEA	26960	13q13.3	chr13:34942287-35672737	3	Sufficient evidence for dosage pathogenicity	30269351	12746398		0	No evidence available				2019-06-26		
NCF1	653361	7q11.23	chr7:74773962-74789376	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-10-10	233700	
NCF2	4688	1q25.3	chr1:183555562-183590921	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
NCF4	4689	22q12.3	chr22:36860988-36878017	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613960	
NCKAP1	10787	2q32.1	chr2:182924851-183038858	3	Sufficient evidence for dosage pathogenicity	27632392	27824329	28940097	0	No evidence available				2017-12-27		
NDE1	54820	16p13.11	chr16:15643267-15726353	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-04-29		
NDN	4692	15q11.2	chr15:23685407-23687303	0	No evidence available				0	No evidence available				2012-04-26		
NDP	4693	Xp11.3	chrX:43948776-43973675	3	Sufficient evidence for dosage pathogenicity	8790105	1301161	1307245	0	No evidence available				2012-06-14	310600	
NDRG1	10397	8q24.22	chr8:133237171-133297587	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	601455	
NDUFA1	4694	Xq24	chrX:119871771-119876666	0	No evidence available				0	No evidence available				2012-07-25		
NDUFA10	4705	2q37.3	chr2:239892450-240025402	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	256000	
NDUFAF1	51103	15q15.1	chr15:41387349-41402694	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	252010	
NDUFAF2	91942	5q12.1	chr5:60945129-61153037	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
NDUFAF5	79133	20p12.1	chr20:13785026-13821580	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	252010	
NDUFB3	4709	2q33.1	chr2:201071739-201085750	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	252010	
NDUFS4	4724	5q11.2	chr5:53560610-53683341	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
NDUFS6	4726	5p15.33	chr5:1801382-1816051	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	252010	
NDUFS7	374291	19p13.3	chr19:1383571-1395589	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	256000	
NDUFS8	4728	11q13.2	chr11:68030617-68036647	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	256000	
NDUFV1	4723	11q13.2	chr11:67606852-67612541	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-03-22	252010	
NDUFV2	4729	18p11.22	chr18:9102623-9134345	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	252010	
NEBL	10529	10p12.31	chr10:20779973-21174187	0	No evidence available				0	No evidence available				2011-12-21		
NEDD9	4739	6p24.2	chr6:11183298-11382348	1	Little evidence for dosage pathogenicity	25363768			0	No evidence available				2019-02-27		
NEFL	4747	8p21.2	chr8:24950955-24956869	0	No evidence available	20039262	19158810		0	No evidence available				2018-09-17		
NEK1	4750	4q33	chr4:169393270-169612629	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2013-08-01	263520	
NELFA	7469	4p16.3	chr4:1982714-2009972	0	No evidence available				0	No evidence available				2012-09-06		
NF1	4763	17q11.2	chr17:31094927-31377677	3	Sufficient evidence for dosage pathogenicity	1757093	1302608		0	No evidence available				2012-07-12	162200	
NF2	4771	22q12.2	chr22:29603556-29698600	3	Sufficient evidence for dosage pathogenicity	7913580	9817927	11159946	0	No evidence available				2012-03-22	101000	
NFIA	4774	1p31.3	chr1:61077124-61462788	3	Sufficient evidence for dosage pathogenicity	22031302	24462883	27081522	0	No evidence available				2017-01-12	613735	
NGLY1	55768	3p24.2	chr3:25718944-25790039	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-02-18	615273	
NHP2	55651	5q35.3	chr5:178149463-178153960	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-03-04		
NHS	4810	Xp22.2-p22.13	chrX:17375420-17735994	3	Sufficient evidence for dosage pathogenicity	14564667	15623749	16736028	0	No evidence available				2012-06-14	302350	
NIPA1	123606	15q11.2	chr15:22786225-22829789	0	No evidence available				0	No evidence available				2012-04-04		
NIPA2	81614	15q11.2	chr15:22838641-22868384	0	No evidence available				0	No evidence available				2012-04-04		
NIPBL	25836	5p13.2	chr5:36876759-37065819	3	Sufficient evidence for dosage pathogenicity	15146185	15146186	1531830	1	Little evidence for dosage pathogenicity	21211577	19052029		2011-10-28	122470	
NKX2-5	1482	5q35.1	chr5:173232104-173235312	3	Sufficient evidence for dosage pathogenicity	14607454	10587520	9651244	0	No evidence available				2011-12-15		
NKX3-2	579	4p15.33	chr4:13540830-13544490	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613330	
NLGN1	22871	3q26.31	chr3:173395899-174291287	0	No evidence available	15551338	22106001		0	No evidence available				2016-03-25		
NLGN3	54413	Xq13.1	chrX:71144389-71175307	0	No evidence available				0	No evidence available				2012-07-25		
NNAT	4826	20q11.23	chr20:37521206-37523690	0	No evidence available				0	No evidence available				2012-04-28		
NODAL	4838	10q22.1	chr10:70431936-70447948	1	Little evidence for dosage pathogenicity	19064609			0	No evidence available				2013-08-08		
NOTCH2	4853	1p12	chr1:119911553-120073449	0	No evidence available				0	No evidence available				2014-07-17	610205	
NPC1	4864	18q11.2	chr18:23506184-23586617	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	257220	
NPHP1	4867	2q13	chr2:110123336-110205062	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-10-10		
NPHP4	261734	1p36.31	chr1:5862808-5992473	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	606996	
NPHS1	4868	19q13.12	chr19:35825372-35851993	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	256300	
NPTX2	4885	7q22.1	chr7:98617285-98629869	0	No evidence available				0	No evidence available				2012-10-10		
NR0B1	190	Xp21.2	chrX:30304422-30309399	3	Sufficient evidence for dosage pathogenicity	16684822	15841486	11748852	0	No evidence available				2020-05-05	300200	
NR2F1	7025	5q15	chr5:93583337-93594613	0	No evidence available				0	No evidence available				2015-03-12	615722	
NR2F2	7026	15q26.2	chr15:96325928-96340263	0	No evidence available				0	No evidence available				2012-07-10		
NR3C2	4306	4q31.23	chr4:148078764-148444698	3	Sufficient evidence for dosage pathogenicity	9662404	16954160	27725360	0	No evidence available				2020-04-06	177735	
NR5A1	2516	9q33.3	chr9:124481234-124507420	3	Sufficient evidence for dosage pathogenicity	15579739	15472171	21654157	0	No evidence available				2012-05-10	612965	
NRG3	10718	10q23.1	chr10:81875298-82989979	0	No evidence available				0	No evidence available	21248748			2011-12-21		
NRXN1	9378	2p16.3	chr2:49918505-51032536	3	Sufficient evidence for dosage pathogenicity	20162629	18057082	20468056	0	No evidence available				2012-05-17		
NSD1	64324	5q35.3	chr5:177133079-177300213	3	Sufficient evidence for dosage pathogenicity				1	Little evidence for dosage pathogenicity	21567906			2011-10-06	117550	
NSDHL	50814	Xq28	chrX:152830967-152869363	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2019-09-25	308050	
NTAN1	123803	16p13.11	chr16:15037853-15056079	0	No evidence available				0	No evidence available				2018-09-17		
NXF5	55998	Xq22.1	chrX:101832112-101857577	1	Little evidence for dosage pathogenicity	11566096			0	No evidence available				2012-05-17		
NYX	60506	Xp11.4	chrX:41447460-41476414	3	Sufficient evidence for dosage pathogenicity	11062472	11062471	18617546	0	No evidence available				2020-01-22	310500	
OAT	4942	10q26.13	chr10:124397303-124418976	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	258870	
OBSL1	23363	2q35	chr2:219549408-219571573	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	612921	
OCA2	4948	15q12-q13.1	chr15:27719008-28099342	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-04-28		
OCLN	100506658	5q13.2	chr5:69492292-69558104	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	251290	
OCRL	4952	Xq26.1	chrX:129532737-129592561	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	309000,300555	
OFD1	8481	Xp22.2	chrX:13734713-13769361	3	Sufficient evidence for dosage pathogenicity	11179005	11179005	11950863	0	No evidence available				2012-05-31	311200	
OPHN1	4983	Xq12	chrX:68042344-68433841	3	Sufficient evidence for dosage pathogenicity	9582072	16221952	20528889	0	No evidence available				2012-07-27	300486	
OR5AU1	390445	14q11.2	chr14:21154937-21156025	0	No evidence available				0	No evidence available				2015-03-11		
ORC4	5000	2q23.1	chr2:147930397-148021604	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-11-05	613800	
ORC6	23594	16q11.2	chr16:46689646-46698394	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613803	
OSBPL5	114879	11p15.4	chr11:3087116-3165352	0	No evidence available				0	No evidence available				2012-09-06		
OSTM1	28962	6q21	chr6:108041409-108074737	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	259720	
OTC	5009	Xp11.4	chrX:38352483-38421450	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-06-28	311250	
OTOA	146183	16p12.2	chr16:21663857-21771468	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	607039	
OTOF	9381	2p23.3	chr2:26457203-26558698	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	601071	
OTOGL	283310	12q21.31	chr12:80130377-80379090	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614944	
OTUD7A	161725	15q13.3	chr15:31475398-31870672	0	No evidence available				0	No evidence available				2018-04-27		
OTX2	5015	14q22.3	chr14:56800707-56810476	3	Sufficient evidence for dosage pathogenicity	15846561	18854396	18628516	0	No evidence available				2012-03-08	610125,613986	
OXCT1	5019	5p13.1	chr5:41730065-41870689	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	245050	
P3H1	64175	1p34.2	chr1:42746335-42767084	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-03-11	610915	
PAFAH1B1	5048	17p13.3	chr17:2593210-2685617	3	Sufficient evidence for dosage pathogenicity	11754098	20452996		0	No evidence available				2012-04-19	607432	613215
PAH	5053	12q23.2	chr12:102838326-102917603	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-08-28	261600	
PAK2	5062	3q29	chr3:196739857-196832647	1	Little evidence for dosage pathogenicity	21841781			1	Little evidence for dosage pathogenicity	21841781			2011-12-27		
PAK3	5063	Xq23	chrX:110944241-111227361	2	Some evidence for dosage pathogenicity	18523455	9731525	27753653	0	No evidence available				2019-12-09	300558	
PARK7	11315	1p36.23	chr1:7961654-7985282	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	606324	
PAX1	5075	20p11.22	chr20:21705659-21718486	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615560	
PAX2	5076	10q24.31	chr10:100732940-100829941	3	Sufficient evidence for dosage pathogenicity	21285886	11241473	22213154	0	No evidence available				2020-02-26	120330	
